S_0,expEuler,impEuler,CN,ADE,BT
0,50,50,50,50,50
0.00200401,49.998,49.998,49.998,49.998,49.998
0.00401606,49.996,49.996,49.996,49.996,49.996
0.00603622,49.994,49.994,49.994,49.994,49.994
0.00806452,49.9919,49.9919,49.9919,49.9919,49.9919
0.010101,49.9899,49.9899,49.9899,49.9899,49.9899
0.0121457,49.9879,49.9879,49.9879,49.9879,49.9879
0.0141988,49.9858,49.9858,49.9858,49.9858,49.9858
0.0162602,49.9837,49.9837,49.9837,49.9837,49.9837
0.0183299,49.9817,49.9817,49.9817,49.9817,49.9817
0.0204082,49.9796,49.9796,49.9796,49.9796,49.9796
0.0224949,49.9775,49.9775,49.9775,49.9775,49.9775
0.0245902,49.9754,49.9754,49.9754,49.9754,49.9754
0.026694,49.9733,49.9733,49.9733,49.9733,49.9733
0.0288066,49.9712,49.9712,49.9712,49.9712,49.9712
0.0309278,49.9691,49.9691,49.9691,49.9691,49.9691
0.0330579,49.9669,49.9669,49.9669,49.9669,49.9669
0.0351967,49.9648,49.9648,49.9648,49.9648,49.9648
0.0373444,49.9627,49.9627,49.9627,49.9627,49.9627
0.039501,49.9605,49.9605,49.9605,49.9605,49.9605
0.0416667,49.9583,49.9583,49.9583,49.9583,49.9583
0.0438413,49.9562,49.9562,49.9562,49.9562,49.9562
0.0460251,49.954,49.954,49.954,49.954,49.954
0.048218,49.9518,49.9518,49.9518,49.9518,49.9518
0.0504202,49.9496,49.9496,49.9496,49.9496,49.9496
0.0526316,49.9474,49.9474,49.9474,49.9474,49.9474
0.0548523,49.9451,49.9451,49.9451,49.9451,49.9451
0.0570825,49.9429,49.9429,49.9429,49.9429,49.9429
0.059322,49.9407,49.9407,49.9407,49.9407,49.9407
0.0615711,49.9384,49.9384,49.9384,49.9384,49.9384
0.0638298,49.9362,49.9362,49.9362,49.9362,49.9362
0.0660981,49.9339,49.9339,49.9339,49.9339,49.9339
0.0683761,49.9316,49.9316,49.9316,49.9316,49.9316
0.0706638,49.9293,49.9293,49.9293,49.9293,49.9293
0.0729614,49.927,49.927,49.927,49.927,49.927
0.0752688,49.9247,49.9247,49.9247,49.9247,49.9247
0.0775862,49.9224,49.9224,49.9224,49.9224,49.9224
0.0799136,49.9201,49.9201,49.9201,49.9201,49.9201
0.0822511,49.9177,49.9177,49.9177,49.9177,49.9177
0.0845987,49.9154,49.9154,49.9154,49.9154,49.9154
0.0869565,49.913,49.913,49.913,49.913,49.913
0.0893246,49.9107,49.9107,49.9107,49.9107,49.9107
0.0917031,49.9083,49.9083,49.9083,49.9083,49.9083
0.0940919,49.9059,49.9059,49.9059,49.9059,49.9059
0.0964912,49.9035,49.9035,49.9035,49.9035,49.9035
0.0989011,49.9011,49.9011,49.9011,49.9011,49.9011
0.101322,49.8987,49.8987,49.8987,49.8987,49.8987
0.103753,49.8962,49.8962,49.8962,49.8962,49.8962
0.106195,49.8938,49.8938,49.8938,49.8938,49.8938
0.108647,49.8914,49.8914,49.8914,49.8914,49.8914
0.111111,49.8889,49.8889,49.8889,49.8889,49.8889
0.113586,49.8864,49.8864,49.8864,49.8864,49.8864
0.116071,49.8839,49.8839,49.8839,49.8839,49.8839
0.118568,49.8814,49.8814,49.8814,49.8814,49.8814
0.121076,49.8789,49.8789,49.8789,49.8789,49.8789
0.123596,49.8764,49.8764,49.8764,49.8764,49.8764
0.126126,49.8739,49.8739,49.8739,49.8739,49.8739
0.128668,49.8713,49.8713,49.8713,49.8713,49.8713
0.131222,49.8688,49.8688,49.8688,49.8688,49.8688
0.133787,49.8662,49.8662,49.8662,49.8662,49.8662
0.136364,49.8636,49.8636,49.8636,49.8636,49.8636
0.138952,49.861,49.861,49.861,49.861,49.861
0.141553,49.8584,49.8584,49.8584,49.8584,49.8584
0.144165,49.8558,49.8558,49.8558,49.8558,49.8558
0.146789,49.8532,49.8532,49.8532,49.8532,49.8532
0.149425,49.8506,49.8506,49.8506,49.8506,49.8506
0.152074,49.8479,49.8479,49.8479,49.8479,49.8479
0.154734,49.8453,49.8453,49.8453,49.8453,49.8453
0.157407,49.8426,49.8426,49.8426,49.8426,49.8426
0.160093,49.8399,49.8399,49.8399,49.8399,49.8399
0.162791,49.8372,49.8372,49.8372,49.8372,49.8372
0.165501,49.8345,49.8345,49.8345,49.8345,49.8345
0.168224,49.8318,49.8318,49.8318,49.8318,49.8318
0.17096,49.829,49.829,49.829,49.829,49.829
0.173709,49.8263,49.8263,49.8263,49.8263,49.8263
0.176471,49.8235,49.8235,49.8235,49.8235,49.8235
0.179245,49.8208,49.8208,49.8208,49.8208,49.8208
0.182033,49.818,49.818,49.818,49.818,49.818
0.184834,49.8152,49.8152,49.8152,49.8152,49.8152
0.187648,49.8124,49.8124,49.8124,49.8124,49.8124
0.190476,49.8095,49.8095,49.8095,49.8095,49.8095
0.193317,49.8067,49.8067,49.8067,49.8067,49.8067
0.196172,49.8038,49.8038,49.8038,49.8038,49.8038
0.199041,49.801,49.801,49.801,49.801,49.801
0.201923,49.7981,49.7981,49.7981,49.7981,49.7981
0.204819,49.7952,49.7952,49.7952,49.7952,49.7952
0.207729,49.7923,49.7923,49.7923,49.7923,49.7923
0.210654,49.7893,49.7893,49.7893,49.7893,49.7893
0.213592,49.7864,49.7864,49.7864,49.7864,49.7864
0.216545,49.7835,49.7835,49.7835,49.7835,49.7835
0.219512,49.7805,49.7805,49.7805,49.7805,49.7805
0.222494,49.7775,49.7775,49.7775,49.7775,49.7775
0.22549,49.7745,49.7745,49.7745,49.7745,49.7745
0.228501,49.7715,49.7715,49.7715,49.7715,49.7715
0.231527,49.7685,49.7685,49.7685,49.7685,49.7685
0.234568,49.7654,49.7654,49.7654,49.7654,49.7654
0.237624,49.7624,49.7624,49.7624,49.7624,49.7624
0.240695,49.7593,49.7593,49.7593,49.7593,49.7593
0.243781,49.7562,49.7562,49.7562,49.7562,49.7562
0.246883,49.7531,49.7531,49.7531,49.7531,49.7531
0.25,49.75,49.75,49.75,49.75,49.75
0.253133,49.7469,49.7469,49.7469,49.7469,49.7469
0.256281,49.7437,49.7437,49.7437,49.7437,49.7437
0.259446,49.7406,49.7406,49.7406,49.7406,49.7406
0.262626,49.7374,49.7374,49.7374,49.7374,49.7374
0.265823,49.7342,49.7342,49.7342,49.7342,49.7342
