S_0,expEuler_trunc,impEuler_trunc,CN_trunc,ADE_trunc,BT
0,50,50,50,50,50
1.5,1.2348e+40,48.5,48.5,48.5,48.5
3,3.70778e+43,47,47,47,47
4.5,3.45033e+46,45.5,45.5,45.5,45.5
6,1.55319e+49,44,44,44,44
7.5,4.12178e+51,42.5,42.5,42.5,42.5
9,7.2212e+53,41,41,41,41
10.5,8.99113e+55,39.5,39.5,39.5,39.5
12,8.38068e+57,38,38,38,38
13.5,6.07882e+59,36.5,36.5,36.5,36.5
15,3.53567e+61,35,35,35,35
16.5,1.68909e+63,33.5,33.5,33.5,33.5
18,6.75909e+64,32,32,32,32
19.5,2.30302e+66,30.5,30.5,30.5,30.5
21,6.77514e+67,29,29,29,29
22.5,1.74155e+69,27.5,27.5,27.5,27.5
24,3.9524e+70,26,26,26,26
25.5,7.99192e+71,24.5,24.5,24.5,24.5
27,1.45147e+73,23,23,23,23
28.5,2.3848e+74,21.5,21.5,21.5,21.5
30,3.56767e+75,20,20,20,20
31.5,4.88798e+76,18.5,18.5,18.5,18.5
33,6.16559e+77,17,17,17,17
34.5,7.19455e+78,15.5376,15.5393,15.5406,15.5447
36,7.80046e+79,14.198,14.1997,14.2005,14.206
37.5,7.88985e+80,12.9678,12.9695,12.9699,12.9767
39,7.4723e+81,11.8381,11.8398,11.8398,11.8466
40.5,6.64903e+82,10.8011,10.8028,10.8024,10.8098
42,5.57635e+83,9.84964,9.85136,9.85071,9.85719
43.5,4.42078e+84,8.97729,8.97903,8.97814,8.98547
45,3.32188e+85,8.17806,8.17983,8.17874,8.18518
46.5,2.37193e+86,7.44642,7.44821,7.44694,7.45276
48,1.61317e+87,6.77721,6.779,6.7776,6.78424
49.5,1.0473e+88,6.16561,6.16739,6.16588,6.17242
51,6.50385e+88,5.60711,5.60886,5.60726,5.61301
52.5,3.87095e+89,5.09748,5.09919,5.09753,5.10207
54,2.21207e+90,4.63279,4.63444,4.63275,4.63658
55.5,1.21578e+91,4.20937,4.21095,4.20923,4.21335
57,6.43692e+91,3.82378,3.82529,3.82355,3.82773
58.5,3.28796e+92,3.47285,3.47428,3.47254,3.47658
60,1.62262e+93,3.15363,3.15497,3.15325,3.15699
61.5,7.74694e+93,2.8634,2.86464,2.86294,2.86626
63,3.58278e+94,2.59963,2.60078,2.59911,2.60187
